,County,TotalPop,State
806,Mobile County,3355,Alabama
807,Mobile County,3593,Alabama
808,Mobile County,1414,Alabama
809,Mobile County,3497,Alabama
810,Mobile County,4382,Alabama
811,Mobile County,4037,Alabama
812,Mobile County,3095,Alabama
813,Mobile County,4896,Alabama
814,Mobile County,4700,Alabama
815,Mobile County,6950,Alabama
816,Mobile County,4132,Alabama
817,Mobile County,1236,Alabama
818,Mobile County,2041,Alabama
819,Mobile County,891,Alabama
820,Mobile County,2480,Alabama
821,Mobile County,731,Alabama
822,Mobile County,1123,Alabama
823,Mobile County,3522,Alabama
824,Mobile County,1679,Alabama
825,Mobile County,1601,Alabama
826,Mobile County,1614,Alabama
827,Mobile County,1985,Alabama
828,Mobile County,4564,Alabama
829,Mobile County,2767,Alabama
830,Mobile County,7365,Alabama
831,Mobile County,7207,Alabama
832,Mobile County,4045,Alabama
833,Mobile County,4428,Alabama
834,Mobile County,5249,Alabama
835,Mobile County,2258,Alabama
836,Mobile County,5684,Alabama
837,Mobile County,4761,Alabama
838,Mobile County,7628,Alabama
839,Mobile County,4994,Alabama
840,Mobile County,10887,Alabama
841,Mobile County,6793,Alabama
842,Mobile County,4292,Alabama
843,Mobile County,1821,Alabama
844,Mobile County,12121,Alabama
845,Mobile County,8592,Alabama
846,Mobile County,8651,Alabama
847,Mobile County,5980,Alabama
848,Mobile County,5248,Alabama
849,Mobile County,13269,Alabama
850,Mobile County,5757,Alabama
851,Mobile County,6086,Alabama
852,Mobile County,3598,Alabama
853,Mobile County,8543,Alabama
854,Mobile County,3123,Alabama
855,Mobile County,7470,Alabama
856,Mobile County,4235,Alabama
857,Mobile County,4533,Alabama
858,Mobile County,4736,Alabama
859,Mobile County,3149,Alabama
860,Mobile County,3382,Alabama
861,Mobile County,2688,Alabama
862,Mobile County,2641,Alabama
